"ì˙éû","âÔàıID","ÉâÅ[ÉÅÉì","ë÷Ç¶ã ","ë÷Ç¶ì˜","ÉrÅ[Éã","çdÇ≥","ëÿç›éûä‘"
2017-02-13 10:09:00,2521,1,1,0,0,"ÉoÉäçd",6
2017-02-13 13:36:00,2534,1,2,0,0,"ÉoÉäçd",10
2017-02-13 12:54:00,2592,1,0,0,0,"ÉoÉäçd",19
2017-02-13 12:54:00,3829,1,0,0,0,"ÉoÉäçd",16
2017-02-13 12:57:00,1339,1,1,0,0,"ÉoÉäçd",18
2017-02-13 13:14:00,2326,1,0,0,0,"ÉoÉäçd",9
2017-02-13 12:42:00,555,1,1,1,1,"ÉoÉäçd",14
2017-02-13 12:14:00,402,1,0,0,0,"ÉoÉäçd",8
2017-02-13 12:12:00,1361,1,0,0,0,"çd",14
2017-02-13 12:21:00,4727,1,0,1,0,"ÉoÉäçd",9
2017-02-13 13:50:00,4736,1,2,0,0,"çd",6
2017-02-13 10:30:00,1563,1,1,0,0,"çd",18
2017-02-13 12:17:00,4741,1,1,0,0,"ÉoÉäçd",7
2017-02-13 12:45:00,4068,1,0,0,0,"çd",18
2017-02-13 11:43:00,4478,1,1,0,1,"ÉoÉäçd",12
2017-02-13 10:34:00,2315,1,0,0,0,"ÉoÉäçd",6
2017-02-13 10:45:00,4697,1,1,0,0,"ÉoÉäçd",13
2017-02-13 12:06:00,4976,1,0,0,1,"ÉoÉäçd",11
2017-02-13 13:22:00,3722,1,1,1,0,"ÉoÉäçd",13
2017-02-13 11:11:00,939,1,0,0,0,"ÉoÉäçd",7
2017-02-13 11:27:00,1635,1,1,0,0,"ÉoÉäçd",9
2017-02-13 11:23:00,2470,1,0,0,0,"çd",20
2017-02-13 12:39:00,4767,1,0,0,0,"çd",8
2017-02-13 13:51:00,2491,1,1,0,0,"ÉoÉäçd",11
2017-02-13 12:06:00,1002,1,0,0,0,"ÉoÉäçd",9
2017-02-13 11:11:00,3261,1,1,0,0,"ïÅí ",13
2017-02-13 12:12:00,4497,1,1,0,0,"ïÅí ",13
2017-02-13 12:59:00,1691,1,0,0,0,"ÉoÉäçd",7
2017-02-13 12:16:00,3228,1,1,0,0,"ÉoÉäçd",19
2017-02-13 11:53:00,4055,1,0,0,1,"çd",11
2017-02-13 11:45:00,98,1,0,0,0,"çd",16
2017-02-13 12:55:00,2515,1,0,0,0,"ÉoÉäçd",11
2017-02-13 13:40:00,2636,1,1,0,0,"ÉoÉäçd",20
2017-02-13 11:15:00,195,1,2,0,0,"ÉoÉäçd",17
2017-02-13 12:57:00,1278,1,0,0,0,"ÉoÉäçd",20
